Country_code_9_digit,Country_code,Country_name,PCON_CODE,PCON_NAME,Cden_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15
E92000001,921,England,E14000655,Croydon North,1340,949,821,1266,1213,839,705,392
E92000001,921,England,E14000656,Croydon South,1080,810,710,1049,1032,734,443,283
E92000001,921,England,E14000657,Dagenham and Rainham,1462,910,749,1397,1353,788,421,257
E92000001,921,England,E14000658,Darlington,1051,630,528,976,936,559,358,192
E92000001,921,England,E14000659,Dartford,1404,1048,952,1341,1305,983,778,524
E92000001,921,England,E14000660,Daventry,1032,630,542,996,965,563,543,282
E92000001,921,England,E14000661,Denton and Reddish,915,570,484,857,831,509,311,176
E92000001,921,England,E14000662,Derby North,1352,717,608,1241,1200,654,405,221
E92000001,921,England,E14000663,Derby South,1100,559,452,994,963,488,263,146
E92000001,921,England,E14000664,Derbyshire Dales,827,605,560,805,790,582,379,259
E92000001,921,England,E14000665,Devizes,941,592,498,874,862,511,403,215
E92000001,921,England,E14000666,Dewsbury,1470,845,734,1378,1333,772,666,316
E92000001,921,England,E14000667,Don Valley,1223,773,649,1152,1128,672,486,266
E92000001,921,England,E14000668,Doncaster Central,1069,575,480,975,945,518,162,81
E92000001,921,England,E14000669,Doncaster North,967,582,502,904,888,533,207,107
E92000001,921,England,E14000670,Dover,960,572,492,882,852,514,207,147
E92000001,921,England,E14000671,Dudley North,1048,625,545,993,960,574,296,150
E92000001,921,England,E14000672,Dudley South,880,530,457,829,790,478,228,138
E92000001,921,England,E14000673,Dulwich and West Norwood,872,594,496,835,803,507,426,250
E92000001,921,England,E14000674,Ealing Central and Acton,607,444,411,582,574,423,284,221
E92000001,921,England,E14000675,Ealing North,1379,947,842,1288,1271,862,823,480
E92000001,921,England,E14000676,"Ealing, Southall",832,574,498,793,777,512,312,212
E92000001,921,England,E14000677,Easington,869,579,497,812,798,505,307,164
E92000001,921,England,E14000678,East Devon,1175,849,770,1097,1076,802,418,272
E92000001,921,England,E14000679,East Ham,1409,1059,884,1360,1322,896,783,519
E92000001,921,England,E14000680,East Hampshire,976,679,604,918,904,632,434,261
E92000001,921,England,E14000681,East Surrey,982,642,507,924,910,522,392,216
E92000001,921,England,E14000682,East Worthing and Shoreham,1084,746,626,1049,1014,641,405,252
E92000001,921,England,E14000683,East Yorkshire,956,609,531,919,887,552,236,162
E92000001,921,England,E14000684,Eastbourne,1189,748,656,1083,1049,685,362,261
E92000001,921,England,E14000685,Eastleigh,1050,731,642,1004,968,656,386,236
E92000001,921,England,E14000686,Eddisbury,546,367,289,497,441,307,213,148
E92000001,921,England,E14000687,Edmonton,1017,639,531,940,870,545,370,273
E92000001,921,England,E14000688,Ellesmere Port and Neston,881,554,452,832,818,481,291,182
E92000001,921,England,E14000689,Elmet and Rothwell,1132,796,701,1055,1036,722,524,317
E92000001,921,England,E14000690,Eltham,1024,713,594,998,959,600,427,241
E92000001,921,England,E14000691,Enfield North,1794,1132,931,1707,1607,966,971,472
E92000001,921,England,E14000692,"Enfield, Southgate",847,614,532,822,781,550,479,280
E92000001,921,England,E14000693,Epping Forest,1016,703,593,965,941,609,397,282
E92000001,921,England,E14000694,Epsom and Ewell,1459,1189,1087,1431,1409,1109,788,543
E92000001,921,England,E14000695,Erewash,1089,668,601,1016,1000,640,310,187
E92000001,921,England,E14000696,Erith and Thamesmead,1179,761,658,1073,1037,689,537,241
E92000001,921,England,E14000697,Esher and Walton,626,403,351,597,588,364,389,225
E92000001,921,England,E14000698,Exeter,692,396,340,644,631,355,298,109
E92000001,921,England,E14000699,Fareham,1061,757,653,1010,948,669,498,257
E92000001,921,England,E14000700,Faversham and Mid Kent,604,374,340,586,575,359,383,160
E92000001,921,England,E14000701,Feltham and Heston,1170,848,702,1112,1087,723,622,390
E92000001,921,England,E14000702,Filton and Bradley Stoke,1042,637,532,993,969,560,326,170
E92000001,921,England,E14000703,Finchley and Golders Green,1124,908,807,1063,1041,822,635,528
E92000001,921,England,E14000704,Folkestone and Hythe,1058,629,535,935,907,551,328,177
E92000001,921,England,E14000705,Forest of Dean,912,562,454,847,784,469,208,112
E92000001,921,England,E14000706,Fylde,629,454,381,606,600,389,195,128
E92000001,921,England,E14000707,Gainsborough,1078,751,628,1034,985,648,594,368
E92000001,921,England,E14000708,Garston and Halewood,961,464,354,859,836,376,312,127
E92000001,921,England,E14000709,Gateshead,757,517,445,676,652,459,321,226
E92000001,921,England,E14000710,Gedling,1212,799,703,1148,1124,747,456,293
E92000001,921,England,E14000711,Gillingham and Rainham,1123,691,567,1073,1022,583,378,222
E92000001,921,England,E14000712,Gloucester,1464,1060,921,1408,1368,946,584,478
E92000001,921,England,E14000713,Gosport,1061,624,552,958,938,568,353,234
E92000001,921,England,E14000714,Grantham and Stamford,1261,932,837,1190,1171,860,510,405
E92000001,921,England,E14000715,Gravesham,1204,799,730,1136,1114,771,484,296
E92000001,921,England,E14000716,Great Grimsby,704,315,261,626,598,270,176,68
E92000001,921,England,E14000717,Great Yarmouth,1026,622,516,963,935,529,399,173
E92000001,921,England,E14000718,Greenwich and Woolwich,673,419,321,614,600,334,296,177
E92000001,921,England,E14000719,Guildford,1028,794,711,981,964,730,449,346
