Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LAD_code_9_digit,LAD_code,LAD_name,IDACI_decile,Rurality,A1A4den_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,70-80%,,5157,3943,3501,4996,4907,3579,2312,1551,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,80-90%,,5274,4132,3668,5145,5051,3754,2469,1704,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,90-100% least deprived,,4800,3988,3605,4695,4658,3647,2415,1774,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Urban - Major conurbation,29978,18840,15897,28205,27258,16535,10387,6223,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Urban - Minor conurbation,0,0,0,0,0,0,0,0,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Urban - City and town,23162,14750,12640,21838,21185,13166,8172,4996,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Rural areas - town and fringe,3600,2492,2167,3451,3399,2240,1473,965,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Rural areas - village,2548,1896,1697,2452,2414,1728,1099,744,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,Rural areas - hamlet & isolated dwelling,1931,1464,1293,1863,1831,1318,899,611,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,0-10% most deprived,Urban,9624,4971,3972,8792,8367,4195,2752,1374,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,0-10% most deprived,Rural,0,0,0,0,0,0,0,0,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,10-20%,Urban,8315,x,3601,x,7299,3821,2254,1189,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,10-20%,Rural,56,x,29,x,52,31,25,11,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,20-30%,Urban,6132,3401,2834,x,5468,2985,1749,923,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,20-30%,Rural,149,74,51,x,135,55,43,16,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,30-40%,Urban,5020,3014,2528,4718,4548,2647,1582,911,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,30-40%,Rural,497,278,230,465,447,240,157,96,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,40-50%,Urban,4814,3159,2675,4591,4455,2795,1787,1088,,,,
